ID,default_flag,predicted_pd,risk_band
167,0,0.028214732,Low
168,0,0.20734562,Moderate
169,0,0.22497348,Moderate
170,0,0.13429824,Moderate
171,0,0.035146277,Low
172,0,0.12676366,Moderate
173,0,0.13976301,Moderate
174,1,0.62052524,Very High
175,0,0.25860897,High
176,1,0.7905168,Very High
177,0,0.15417142,Moderate
178,0,0.48560485,High
179,0,0.191247,Moderate
180,0,0.24844584,Moderate
181,0,0.09694817,Low
182,0,0.03894835,Low
183,0,0.014459977,Low
184,1,0.19481611,Moderate
185,0,0.16801423,Moderate
186,1,0.42710987,High
187,0,0.032414533,Low
188,1,0.6659675,Very High
189,0,0.13749702,Moderate
190,0,0.38495907,High
191,0,0.019728145,Low
192,1,0.71677387,Very High
193,0,0.10438762,Moderate
194,0,0.22597598,Moderate
195,0,0.09836777,Low
196,1,0.57369626,Very High
197,0,0.13494785,Moderate
198,0,0.19046465,Moderate
199,0,0.13978143,Moderate
200,1,0.48601842,High
201,0,0.1395364,Moderate
202,0,0.13948955,Moderate
203,0,0.050237972,Low
204,0,0.073710136,Low
205,0,0.123933844,Moderate
206,0,0.2254577,Moderate
207,0,0.32886818,High
208,1,0.14667265,Moderate
209,1,0.13758126,Moderate
210,0,0.08105529,Low
211,0,0.0752685,Low
212,1,0.29860193,High
213,0,0.17462467,Moderate
214,0,0.20655605,Moderate
215,0,0.6780376,Very High
216,0,0.3842711,High
217,1,0.26771,High
218,0,0.6797322,Very High
219,0,0.068561316,Low
220,0,0.1299732,Moderate
221,1,0.55874103,Very High
222,0,0.17571017,Moderate
223,0,0.10351723,Moderate
224,0,0.020077985,Low
225,1,0.51853144,Very High
226,0,0.0555145,Low
227,0,0.13544449,Moderate
228,0,0.1874375,Moderate
229,1,0.66120505,Very High
230,0,0.37210646,High
231,0,0.08891697,Low
232,1,0.4526324,High
233,0,0.183129,Moderate
234,1,0.72675717,Very High
235,0,0.13436225,Moderate
236,0,0.09351449,Low
237,0,0.06347095,Low
238,0,0.08447916,Low
239,1,0.10459722,Moderate
240,1,0.078093976,Low
241,0,0.37012863,High
242,0,0.1573416,Moderate
243,0,0.09492215,Low
244,0,0.34837824,High
245,0,0.52625847,Very High
246,0,0.22661702,Moderate
247,0,0.06981468,Low
248,0,0.0674638,Low
249,0,0.08593366,Low
250,0,0.1348575,Moderate
251,0,0.40909216,High
252,0,0.1427304,Moderate
253,1,0.08067701,Low
254,0,0.046030737,Low
255,0,0.05118152,Low
256,0,0.14346527,Moderate
257,0,0.12612823,Moderate
258,0,0.106190786,Moderate
259,0,0.108154684,Moderate
260,1,0.7742945,Very High
261,0,0.01333421,Low
262,0,0.17144045,Moderate
263,0,0.22617465,Moderate
264,0,0.11054648,Moderate
265,0,0.07739104,Low
266,0,0.1966395,Moderate
267,0,0.37202108,High
268,1,0.12562913,Moderate
269,0,0.17400421,Moderate
270,1,0.7579255,Very High
271,0,0.07713419,Low
272,0,0.46480572,High
273,1,0.6471474,Very High
274,0,0.06542521,Low
275,1,0.3383138,High
276,0,0.08597743,Low
277,1,0.43030626,High
278,0,0.26816723,High
279,0,0.19889496,Moderate
280,0,0.031759437,Low
281,0,0.18219508,Moderate
282,0,0.03588915,Low
283,0,0.06988068,Low
284,0,0.06520498,Low
285,0,0.039988082,Low
286,0,0.048675537,Low
287,0,0.60615104,Very High
288,0,0.03983326,Low
289,1,0.6360161,Very High
290,0,0.08077736,Low
291,1,0.37440097,High
292,1,0.33788416,High
293,0,0.80209595,Very High
294,1,0.36160648,High
295,0,0.26058283,High
296,0,0.11700236,Moderate
297,0,0.14717583,Moderate
298,0,0.07261063,Low
299,0,0.044291236,Low
300,1,0.35295358,High
301,0,0.14882793,Moderate
302,0,0.13610779,Moderate
303,0,0.13820915,Moderate
304,1,0.33761993,High
305,0,0.11534091,Moderate
306,0,0.11275859,Moderate
307,0,0.0512454,Low
308,0,0.19899546,Moderate
309,1,0.8197856,Very High
310,0,0.07900675,Low
311,0,0.10085914,Moderate
312,0,0.061358154,Low
313,0,0.32042202,High
314,1,0.24336286,Moderate
315,0,0.10057377,Moderate
316,1,0.11231837,Moderate
317,0,0.067843996,Low
318,0,0.25955302,High
319,0,0.5844102,Very High
320,0,0.2384916,Moderate
321,1,0.46935925,High
322,0,0.031049643,Low
323,0,0.19472101,Moderate
324,1,0.0795339,Low
325,0,0.02075836,Low
326,0,0.09560831,Low
327,1,0.40983453,High
328,1,0.7799059,Very High
329,0,0.044923343,Low
330,0,0.74589086,Very High
331,1,0.35036856,High
332,1,0.29908857,High
333,0,0.24691488,Moderate
334,0,0.16119067,Moderate
335,0,0.1774529,Moderate
336,0,0.058434546,Low
337,0,0.04287394,Low
338,0,0.13588233,Moderate
339,1,0.14157456,Moderate
340,0,0.08092328,Low
341,0,0.08768976,Low
342,0,0.25917044,High
343,0,0.20094241,Moderate
344,0,0.12025871,Moderate
345,0,0.08668334,Low
346,0,0.050534427,Low
347,0,0.12203574,Moderate
348,1,0.13074817,Moderate
349,0,0.07983112,Low
350,1,0.1737284,Moderate
351,0,0.06504616,Low
352,0,0.34184602,High
353,1,0.37676594,High
354,0,0.11698951,Moderate
355,0,0.65773845,Very High
356,1,0.08092938,Low
357,0,0.057152163,Low
358,0,0.030168716,Low
359,0,0.052934233,Low
360,0,0.06694257,Low
361,1,0.88423914,Very High
362,0,0.036253918,Low
363,0,0.51234114,Very High
364,1,0.4026226,High
365,0,0.13697298,Moderate
366,0,0.3164858,High
367,0,0.12851086,Moderate
368,0,0.6567003,Very High
369,0,0.41304392,High
370,1,0.6648868,Very High
371,1,0.6793808,Very High
372,0,0.08602671,Low
373,0,0.24150135,Moderate
374,0,0.1925952,Moderate
375,0,0.16012095,Moderate
376,0,0.12591763,Moderate
377,0,0.5017466,Very High
378,0,0.07639273,Low
379,0,0.047909062,Low
380,1,0.09059695,Low
381,0,0.08849895,Low
382,1,0.7001249,Very High
383,0,0.10032859,Moderate
384,1,0.3747518,High
385,0,0.10170418,Moderate
386,0,0.10387584,Moderate
387,0,0.116970375,Moderate
388,1,0.35563937,High
389,0,0.11026391,Moderate
390,1,0.33665594,High
391,0,0.439112,High
392,1,0.044184055,Low
393,0,0.04791522,Low
394,0,0.05391866,Low
395,0,0.10563126,Moderate
396,0,0.07005315,Low
397,0,0.095215626,Low
398,0,0.11932154,Moderate
399,0,0.048906494,Low
400,0,0.6725106,Very High
401,0,0.109771855,Moderate
402,0,0.12548947,Moderate
403,1,0.30557472,High
404,0,0.17082821,Moderate
405,1,0.74512804,Very High
406,0,0.13005391,Moderate
407,0,0.11630574,Moderate
408,0,0.2512352,High
409,0,0.019580353,Low
410,0,0.052643538,Low
411,1,0.52826977,Very High
412,0,0.18656205,Moderate
413,0,0.19324295,Moderate
414,1,0.28165546,High
415,0,0.023428235,Low
416,0,0.1299901,Moderate
417,0,0.10793119,Moderate
418,0,0.2739539,High
419,0,0.14546946,Moderate
420,1,0.3745347,High
421,0,0.6698671,Very High
422,0,0.02516014,Low
423,0,0.12051323,Moderate
424,1,0.83530664,Very High
425,0,0.044069484,Low
426,0,0.13833398,Moderate
427,1,0.78875875,Very High
428,1,0.17492633,Moderate
429,0,0.17157008,Moderate
430,0,0.09304863,Low
431,0,0.09610379,Low
432,1,0.13432246,Moderate
433,0,0.06326154,Low
434,0,0.044739462,Low
435,0,0.046326797,Low
436,1,0.69614416,Very High
437,0,0.28236648,High
438,0,0.101899795,Moderate
439,0,0.16454022,Moderate
440,1,0.16374835,Moderate
441,0,0.15593599,Moderate
442,0,0.27081457,High
443,0,0.2438305,Moderate
444,0,0.0597707,Low
445,1,0.13576628,Moderate
446,0,0.0846544,Low
447,0,0.10582884,Moderate
448,0,0.086490214,Low
449,0,0.029796608,Low
450,0,0.14187811,Moderate
451,1,0.5188947,Very High
452,1,0.73065466,Very High
453,0,0.089228556,Low
454,0,0.096163884,Low
455,0,0.09865138,Low
456,0,0.1760213,Moderate
457,0,0.45153067,High
458,0,0.11942341,Moderate
459,0,0.0886665,Low
460,1,0.17518385,Moderate
461,0,0.07674831,Low
462,0,0.10968568,Moderate
463,0,0.029288137,Low
464,0,0.026031394,Low
465,0,0.38324082,High
466,1,0.25716487,High
467,1,0.14319591,Moderate
468,0,0.087684266,Low
469,0,0.025777066,Low
470,0,0.1500384,Moderate
471,1,0.23258376,Moderate
472,0,0.13064207,Moderate
473,0,0.15487564,Moderate
474,0,0.51385343,Very High
475,0,0.1650141,Moderate
476,0,0.11169063,Moderate
477,0,0.14371258,Moderate
478,0,0.25414166,High
479,0,0.23544644,Moderate
480,0,0.24852479,Moderate
481,0,0.06359333,Low
482,1,0.38918442,High
483,0,0.17669086,Moderate
484,0,0.58378965,Very High
485,0,0.17551899,Moderate
486,0,0.15992402,Moderate
487,0,0.12220761,Moderate
488,0,0.044804316,Low
489,1,0.33404607,High
490,0,0.052284796,Low
491,0,0.09441315,Low
492,0,0.70245427,Very High
493,0,0.13655199,Moderate
494,0,0.08359863,Low
495,1,0.16713719,Moderate
496,0,0.25676018,High
497,0,0.10239031,Moderate
498,0,0.24875253,Moderate
499,0,0.20208308,Moderate
500,0,0.39626434,High
501,0,0.34892374,High
502,0,0.4815044,High
503,0,0.051097173,Low
504,1,0.11316309,Moderate
505,0,0.1734897,Moderate
506,0,0.29165313,High
507,0,0.06482077,Low
508,0,0.11564695,Moderate
509,0,0.16087334,Moderate
510,0,0.14188816,Moderate
511,0,0.31095356,High
512,1,0.22606114,Moderate
513,0,0.037232,Low
514,1,0.8112279,Very High
515,0,0.24453594,Moderate
516,0,0.12291433,Moderate
517,0,0.1657547,Moderate
518,0,0.13476416,Moderate
519,0,0.34921065,High
520,0,0.026488451,Low
521,0,0.15216967,Moderate
522,0,0.03260669,Low
523,1,0.14921767,Moderate
524,1,0.07350339,Low
525,0,0.040815987,Low
526,0,0.09560967,Low
527,0,0.4634034,High
528,1,0.7639906,Very High
529,0,0.18602246,Moderate
530,0,0.1897045,Moderate
531,0,0.11818435,Moderate
532,0,0.19564676,Moderate
533,1,0.5631488,Very High
534,1,0.71717757,Very High
535,0,0.102878906,Moderate
536,0,0.16056564,Moderate
537,0,0.09233272,Low
538,0,0.14432292,Moderate
539,0,0.19865495,Moderate
540,0,0.37662467,High
541,0,0.18209149,Moderate
542,0,0.2215284,Moderate
543,1,0.6677896,Very High
544,0,0.07740351,Low
545,0,0.058290888,Low
546,0,0.023842758,Low
547,1,0.35707256,High
548,0,0.2341389,Moderate
549,0,0.08243441,Low
550,0,0.03793035,Low
551,1,0.3990006,High
552,1,0.14019877,Moderate
553,1,0.17743444,Moderate
554,0,0.22549851,Moderate
555,0,0.20749271,Moderate
556,0,0.04522213,Low
557,0,0.07216483,Low
558,0,0.225938,Moderate
559,0,0.16668965,Moderate
560,0,0.04637205,Low
561,0,0.048982885,Low
562,0,0.09152926,Low
563,0,0.2189948,Moderate
564,0,0.023339141,Low
565,0,0.48030272,High
566,0,0.03263483,Low
567,1,0.10122283,Moderate
568,0,0.06278201,Low
569,0,0.11465428,Moderate
570,0,0.081776686,Low
571,0,0.10588003,Moderate
572,0,0.1302411,Moderate
573,0,0.071055524,Low
574,1,0.16655624,Moderate
575,0,0.0934416,Low
576,1,0.750531,Very High
577,0,0.09750183,Low
578,0,0.25920328,High
579,0,0.18302669,Moderate
580,0,0.1633962,Moderate
581,1,0.2833104,High
582,0,0.049069755,Low
583,0,0.11658768,Moderate
584,0,0.11189891,Moderate
585,0,0.17043439,Moderate
586,0,0.31400046,High
587,1,0.4106742,High
588,1,0.129238,Moderate
589,0,0.1008669,Moderate
590,0,0.026286699,Low
591,0,0.034241494,Low
592,0,0.06827455,Low
593,0,0.14598064,Moderate
594,0,0.116839424,Moderate
595,0,0.08973322,Low
596,0,0.087068185,Low
597,0,0.16689359,Moderate
598,0,0.32118866,High
599,0,0.6309505,Very High
600,1,0.19557726,Moderate
601,0,0.061901662,Low
602,1,0.36752605,High
603,0,0.08936461,Low
604,0,0.7388553,Very High
605,0,0.22194837,Moderate
606,0,0.5637433,Very High
607,0,0.17838708,Moderate
608,0,0.1531426,Moderate
609,0,0.05584417,Low
610,0,0.25393772,High
611,0,0.051726438,Low
612,1,0.13837537,Moderate
613,0,0.1525639,Moderate
614,0,0.6270674,Very High
615,0,0.353831,High
616,0,0.06511563,Low
617,0,0.18955898,Moderate
618,0,0.055597827,Low
619,0,0.14305268,Moderate
620,0,0.05612818,Low
621,0,0.052142352,Low
622,0,0.18503714,Moderate
623,0,0.1520765,Moderate
624,0,0.21461476,Moderate
625,0,0.16455622,Moderate
626,0,0.38337848,High
627,0,0.15743504,Moderate
628,0,0.24471249,Moderate
629,0,0.15539075,Moderate
630,0,0.09565194,Low
631,0,0.19251624,Moderate
632,0,0.21595621,Moderate
633,0,0.1827393,Moderate
634,0,0.29686946,High
635,0,0.090179026,Low
636,0,0.31197736,High
637,0,0.17403522,Moderate
638,0,0.14215726,Moderate
639,0,0.027229426,Low
640,0,0.046792142,Low
641,0,0.06339377,Low
642,0,0.14426313,Moderate
643,0,0.026108928,Low
644,0,0.034736536,Low
645,0,0.23494342,Moderate
646,0,0.3916936,High
647,1,0.7009536,Very High
648,0,0.09812297,Low
649,1,0.7882095,Very High
650,0,0.48471984,High
651,0,0.122808926,Moderate
652,0,0.05287082,Low
653,0,0.15164664,Moderate
654,1,0.09695296,Low
655,0,0.21961194,Moderate
656,1,0.06344839,Low
657,0,0.09105398,Low
658,1,0.046320476,Low
659,0,0.06981162,Low
660,0,0.19007432,Moderate
661,0,0.045585662,Low
662,1,0.12205102,Moderate
663,0,0.18954022,Moderate
664,0,0.18186332,Moderate
665,0,0.37519902,High
666,0,0.121379144,Moderate
667,0,0.22467437,Moderate
668,0,0.17733169,Moderate
669,0,0.488461,High
670,1,0.81366503,Very High
671,0,0.50097615,Very High
672,1,0.22029553,Moderate
673,1,0.66196954,Very High
674,1,0.8743046,Very High
675,0,0.028846493,Low
676,1,0.8275741,Very High
677,1,0.7211163,Very High
678,0,0.03613353,Low
679,0,0.08696888,Low
680,0,0.108392864,Moderate
681,0,0.08408098,Low
682,0,0.12413134,Moderate
683,0,0.16077659,Moderate
684,0,0.02199501,Low
685,0,0.117750876,Moderate
686,0,0.079845175,Low
687,1,0.295364,High
688,0,0.05335773,Low
689,0,0.11407099,Moderate
690,0,0.10189356,Moderate
691,0,0.037444815,Low
692,0,0.3705597,High
693,1,0.5862756,Very High
694,0,0.23883589,Moderate
695,0,0.060022417,Low
696,0,0.23620689,Moderate
697,0,0.10856494,Moderate
698,0,0.37566268,High
699,0,0.024878204,Low
700,0,0.09755368,Low
701,0,0.10582581,Moderate
702,0,0.10574832,Moderate
703,1,0.255796,High
704,1,0.48499975,High
705,0,0.4675689,High
706,1,0.11203466,Moderate
707,0,0.3761369,High
708,0,0.58321404,Very High
709,0,0.3572319,High
710,0,0.20036925,Moderate
711,0,0.11412649,Moderate
712,0,0.1964142,Moderate
713,0,0.16002162,Moderate
714,0,0.2797372,High
715,0,0.10821666,Moderate
716,0,0.1410741,Moderate
717,0,0.059983026,Low
718,1,0.10439883,Moderate
719,0,0.3340253,High
720,0,0.061628144,Low
721,0,0.21059288,Moderate
722,1,0.23055063,Moderate
723,0,0.14916356,Moderate
724,0,0.08028846,Low
725,0,0.30735427,High
726,1,0.4151479,High
727,0,0.04771703,Low
728,0,0.13980441,Moderate
729,0,0.029176679,Low
730,1,0.5069339,Very High
731,0,0.118582666,Moderate
732,0,0.10874672,Moderate
733,0,0.32539505,High
734,0,0.20490462,Moderate
735,0,0.0797334,Low
736,0,0.060991593,Low
737,0,0.07068394,Low
738,0,0.05108199,Low
739,0,0.09574184,Low
740,1,0.761159,Very High
741,0,0.06309945,Low
742,0,0.19611825,Moderate
743,0,0.061496545,Low
744,0,0.24013442,Moderate
745,0,0.036800932,Low
746,0,0.050971627,Low
747,0,0.10039633,Moderate
748,1,0.13504437,Moderate
749,1,0.20524026,Moderate
750,1,0.56128937,Very High
751,0,0.15827201,Moderate
752,0,0.50201243,Very High
753,1,0.16594532,Moderate
754,0,0.036810435,Low
755,0,0.15495661,Moderate
756,0,0.051482603,Low
757,0,0.04107834,Low
758,1,0.35956654,High
759,0,0.050446976,Low
760,0,0.15328993,Moderate
761,1,0.45478433,High
762,0,0.15017746,Moderate
763,0,0.048886783,Low
764,0,0.22162399,Moderate
765,0,0.09357302,Low
766,0,0.09311616,Low
767,0,0.07143314,Low
768,0,0.060944963,Low
769,0,0.15411344,Moderate
770,0,0.07234291,Low
771,0,0.030221043,Low
772,0,0.21046889,Moderate
773,0,0.20090815,Moderate
774,0,0.075790204,Low
775,0,0.19839625,Moderate
776,0,0.25489843,High
777,0,0.063861676,Low
778,0,0.25735405,High
779,1,0.6562338,Very High
780,0,0.29933596,High
781,0,0.2300387,Moderate
782,0,0.34029064,High
783,1,0.77628607,Very High
784,1,0.38004392,High
785,1,0.16686003,Moderate
786,0,0.14385639,Moderate
787,0,0.113106064,Moderate
788,0,0.095916,Low
789,0,0.10020373,Moderate
790,0,0.14180808,Moderate
791,0,0.39048716,High
792,0,0.19226925,Moderate
793,0,0.18493614,Moderate
794,0,0.08498268,Low
795,0,0.16970138,Moderate
796,0,0.12457986,Moderate
797,0,0.24912202,Moderate
798,0,0.17812291,Moderate
799,0,0.8210204,Very High
800,0,0.057130583,Low
801,0,0.1207099,Moderate
802,1,0.58749795,Very High
803,0,0.12050772,Moderate
804,0,0.14321272,Moderate
805,0,0.076279014,Low
806,0,0.07876543,Low
807,0,0.1815397,Moderate
808,1,0.50755507,Very High
809,0,0.13239263,Moderate
810,0,0.040399328,Low
811,0,0.20328477,Moderate
812,0,0.0540181,Low
813,0,0.20241666,Moderate
814,0,0.07916652,Low
815,1,0.60219055,Very High
816,0,0.19697408,Moderate
817,1,0.6190932,Very High
818,0,0.238671,Moderate
819,0,0.14410888,Moderate
820,0,0.038596075,Low
821,0,0.09339817,Low
822,1,0.3275382,High
823,0,0.20430256,Moderate
824,0,0.16137923,Moderate
825,1,0.13101731,Moderate
826,0,0.190186,Moderate
827,0,0.4511976,High
828,0,0.39044827,High
829,0,0.09483753,Low
830,0,0.08293883,Low
831,0,0.11015453,Moderate
832,0,0.4404564,High
833,1,0.12333328,Moderate
834,0,0.08871145,Low
835,0,0.17890947,Moderate
836,1,0.18466036,Moderate
837,0,0.7581037,Very High
838,0,0.08795293,Low
839,0,0.0334933,Low
840,1,0.47690466,High
841,0,0.3238244,High
842,0,0.043743588,Low
843,0,0.09343869,Low
844,1,0.2544774,High
845,0,0.06411333,Low
846,0,0.065692395,Low
847,0,0.24004306,Moderate
848,1,0.72756463,Very High
849,1,0.7453352,Very High
850,0,0.23558058,Moderate
851,0,0.33138543,High
852,0,0.44882897,High
853,0,0.14301758,Moderate
854,0,0.063106656,Low
855,0,0.13355824,Moderate
856,0,0.14504077,Moderate
857,1,0.42355946,High
858,1,0.78882176,Very High
859,0,0.08874001,Low
860,0,0.19698752,Moderate
861,0,0.2202186,Moderate
862,0,0.05043473,Low
863,1,0.87121016,Very High
864,0,0.16228074,Moderate
865,0,0.04883814,Low
866,0,0.1720231,Moderate
867,0,0.13614777,Moderate
868,0,0.10936227,Moderate
869,0,0.08744185,Low
870,0,0.16157678,Moderate
871,0,0.19129209,Moderate
872,0,0.07717835,Low
873,0,0.039595276,Low
874,0,0.114124805,Moderate
875,0,0.31696114,High
876,0,0.25776803,High
877,0,0.035798073,Low
878,0,0.08431021,Low
879,0,0.09146487,Low
880,0,0.7257821,Very High
881,0,0.08193335,Low
882,1,0.3835619,High
883,0,0.17740345,Moderate
884,0,0.120886326,Moderate
885,1,0.14602935,Moderate
886,0,0.11090141,Moderate
887,0,0.07803767,Low
888,0,0.082011074,Low
889,0,0.18189941,Moderate
890,0,0.027009375,Low
891,0,0.23484898,Moderate
892,0,0.2140731,Moderate
893,0,0.10918014,Moderate
894,0,0.03534476,Low
895,1,0.21284375,Moderate
896,0,0.11036116,Moderate
897,1,0.7784291,Very High
898,1,0.79072106,Very High
899,1,0.31215575,High
900,0,0.14897047,Moderate
901,0,0.17149895,Moderate
902,0,0.14463678,Moderate
903,0,0.08415025,Low
904,0,0.16902034,Moderate
905,0,0.68656045,Very High
906,0,0.3457411,High
907,1,0.7571599,Very High
908,0,0.09352575,Low
909,0,0.14314923,Moderate
910,0,0.017568002,Low
911,0,0.7022774,Very High
912,0,0.07078907,Low
913,0,0.083853416,Low
914,0,0.24323381,Moderate
915,0,0.09380028,Low
916,0,0.20454104,Moderate
917,0,0.04768864,Low
918,1,0.3491941,High
919,0,0.16091603,Moderate
920,0,0.045038126,Low
921,0,0.22413842,Moderate
922,0,0.19984603,Moderate
923,0,0.052996155,Low
924,0,0.30063015,High
925,0,0.11946052,Moderate
926,1,0.37395594,High
927,0,0.30525118,High
928,0,0.18704908,Moderate
929,0,0.033767536,Low
930,0,0.07072893,Low
931,0,0.03345934,Low
932,1,0.08349025,Low
933,1,0.4646166,High
934,1,0.7782801,Very High
935,0,0.15733099,Moderate
936,0,0.13363369,Moderate
937,0,0.06501312,Low
938,0,0.13620423,Moderate
939,1,0.46597102,High
940,0,0.057433024,Low
941,0,0.20248441,Moderate
942,0,0.18882246,Moderate
943,0,0.088678285,Low
944,1,0.50925326,Very High
945,0,0.07833271,Low
946,0,0.056015406,Low
947,0,0.096004,Low
948,0,0.15143636,Moderate
949,0,0.02830741,Low
950,0,0.25169688,High
951,1,0.17687996,Moderate
952,0,0.10826155,Moderate
953,0,0.01866517,Low
954,0,0.12346568,Moderate
955,0,0.088835,Low
956,0,0.21332304,Moderate
957,0,0.055334926,Low
958,1,0.23949851,Moderate
959,0,0.036013853,Low
960,1,0.30993235,High
961,1,0.31164753,High
962,0,0.24496801,Moderate
963,0,0.050503947,Low
964,0,0.19380279,Moderate
965,0,0.08273562,Low
966,0,0.035917703,Low
967,0,0.24399018,Moderate
968,0,0.11865376,Moderate
969,0,0.1100476,Moderate
970,0,0.09400313,Low
971,1,0.03459183,Low
972,0,0.08509001,Low
973,1,0.74966794,Very High
974,0,0.06203349,Low
975,1,0.21764158,Moderate
976,0,0.13464658,Moderate
977,1,0.53062475,Very High
978,0,0.15217368,Moderate
979,1,0.14462794,Moderate
980,0,0.27571356,High
981,0,0.10992054,Moderate
982,0,0.42782038,High
983,1,0.017620668,Low
984,0,0.15454838,Moderate
985,0,0.19213992,Moderate
986,1,0.1067021,Moderate
987,0,0.091634385,Low
988,0,0.52038413,Very High
989,0,0.5995269,Very High
990,0,0.469099,High
991,0,0.17867526,Moderate
992,1,0.2667563,High
993,0,0.100860894,Moderate
994,1,0.19833952,Moderate
995,1,0.32000008,High
996,0,0.0653532,Low
997,0,0.24373217,Moderate
998,1,0.4407674,High
999,1,0.3418568,High
1000,0,0.74680144,Very High
1001,0,0.21506494,Moderate
1002,0,0.04477353,Low
1003,0,0.13117738,Moderate
1004,1,0.4320635,High
1005,1,0.10014117,Moderate
1006,0,0.15583149,Moderate
1007,0,0.16061099,Moderate
1008,0,0.11357619,Moderate
1009,0,0.37033266,High
1010,0,0.105040476,Moderate
1011,0,0.09258087,Low
1012,0,0.11132048,Moderate
